Item type,Authors,Title,Date published
Journal Article,Watkins D,Large-scale structured eigenvalue problems,
Journal Article,"Bunse-Gerstner A,Fassbender H",Breaking Van Loan's curse: a quest for structure-preserving algorithms for dense structured eigenvalue problems,
Journal Article,"Movassagh R,Edelman A",Condition numbers of indefinite rank 2 ghost Wishart matrices,2015
Journal Article,"Li W,Liu D,Vong SW",$Z$-eigenpair bounds for an irreducible nonnegative tensor,2015
Journal Article,"Dieci L,Pugliese A",Hermitian matrices of three parameters: perturbing coalescing eigenvalues and a numerical method,2015
Journal Article,"Thompson MC,Tam TY",Rutishauser's LR algorithm and Bruhat iteration,2015
Journal Article,"Liu X,Wen Z,Zhang Y",An efficient Gauss-Newton algorithm for symmetric low-rank product matrix approximations,2015
Journal Article,"Ulbrich M,Wen Z,Yang C,Kloeckner D,Lu Z",A proximal gradient method for ensemble density functional theory,2015
Journal Article,"Ding W,Wei Y",Generalized tensor eigenvalue problems,2015
Journal Article,"Jiang H,Qiu Y,Cheng X,Ching WK",On eigen-matrix translation method for classification of biological data,2015
Journal Article,"Yamashita T,Kimura K,Yamamoto Y",A new subtraction-free formula for lower bounds of the minimal singular value of an upper bidiagonal matrix,2015
Journal Article,"Lu L,Xu W,Qiao S",A fast SVD for multilevel block Hankel matrices with minimal memory storage,2015
Journal Article,Aishima K,A note on the convergence theorem of the tridiagonal QR algorithm with Wilkinson's shift,2015
Journal Article,"Maeda Y,Futamura Y,Imakura A,Sakurai T",Filter analysis for the stochastic estimation of eigenvalue counts,2015
Journal Article,"Zhou Y,Chelikowsky JR,Gao X,Zhou A",On the ``preconditioning'' function used in planewave DFT calculations and its generalization,2015
Journal Article,"Emmart N,Chen Y,Weems C",Computing the smallest eigenvalue of large ill-conditioned Hankel matrices,2015
Journal Article,"Bevilacqua R,Del Corso GM,Gemignani L",A CMV-based eigensolver for companion matrices,2015
Journal Article,"Wang P,Dai H",Calculation of eigenpair derivatives for asymmetric damped systems with distinct and repeated eigenvalues,2015
Journal Article,"Qian X,Wang L,Song Y",A successive quadratic approximations method for nonlinear eigenvalue problems,2015
Journal Article,"Lee N,Cichocki A",Estimating a few extreme singular values and vectors for large-scale matrices in tensor train format,2015
Journal Article,"Puelz C,Embree M,Fillman J",Spectral approximation for quasiperiodic Jacobi operators,2015
Journal Article,"Liu X,Wen Z,Wang X,Ulbrich M,Yuan Y",On the analysis of the discretized Kohn-Sham density functional theory,2015
Journal Article,"Harbrecht H,Peters M,Siebenmorgen M",Efficient approximation of random fields for numerical applications,2015
Journal Article,"Aurentz JL,Mach T,Vandebril R,Watkins D",Fast and backward stable computation of roots of polynomials,2015
Journal Article,"Xiu X,Kong L",Rank-one and sparse matrix decomposition for dynamic MRI,2015
Journal Article,"Zhang C,Luo X,Zhang Z,Gao R,Wu X",Multi-focus image fusion method using higher order singular value decomposition and fuzzy reasoning,2015
Journal Article,"Berljafa M,Guettel S",Generalized rational Krylov decompositions with an application to rational approximation,2015
Journal Article,"Delgado J,Pena JM",Accurate computations with collocation matrices of q-Bernstein polynomials,2015
Journal Article,"Becka M,Oksa G,Vajtersic M",New dynamic orderings for the parallel one-sided block-Jacobi SVD algorithm,2015
Journal Article,"Eidelman Y,Haimovici I",The fast bisection eigenvalue method for Hermitian order one quasiseparable matrices and computations of norms,2015
Journal Article,"Aurentz JL,Mach T,Vandebril R,Watkins D",Fast and stable unitary QR algorithm,2015
Journal Article,Xie HQ,Sensitivity analysis of semi-simple eigenvalues of regular quadratic eigenvalue problems,2015
Journal Article,"Jia Z,Lin WW,Liu CS",A positivity preserving inexact Noda iteration for computing the smallest eigenpair of a large irreducible $M$-matrix,2015
Journal Article,"Van Beeumen R,Meerbergen K,Michiels W",Compact rational Krylov methods for nonlinear eigenvalue problems,2015
Journal Article,"Carson E,Demmel J",Accuracy of the $s$-step Lanczos method for the symmetric eigenproblem in finite precision,2015
Journal Article,"Zhao Z,Bai ZJ,Jin X",A Riemannian Newton algorithm for nonlinear eigenvalue problems,2015
Journal Article,"Dai H,Bai ZZ,Wei Y",On the solvability condition and numerical algorithm for the parameterized generalized inverse eigenvalue problem,2015
Journal Article,"Zhang LH,Li R","Maximization of the sum of the trace ratio on the Stiefel manifold, II: Computation",2015
Journal Article,"Karlsson L,Tisseur F",Algorithms for Hessenberg-triangular reduction of Fiedler linearization of matrix polynomials,2015
Journal Article,"Austin AP,Trefethen LN",Computing eigenvalues of real symmetric matrices with rational filters in real arithmetic,2015
Journal Article,"Baker J,Embree M,Sabino J",Fast singular value decay for Lyapunov solutions with nonnormal coefficients,2015
Journal Article,"U ZL,Van F,Chzhao TG",Localization of eigenvalues and estimation of the spread for complex matrices,2015
Journal Article,"Bogoya JM,Boettcher A,Grudsky SM,Maximenko EA",Maximum norm versions of the Szego and Avram-Parter theorems for Toeplitz matrices,2015
Journal Article,Loring TA,$K$-theory and pseudospectra for topological insulators,2015
Journal Article,Uschmajew A,A new convergence proof for the higher-order power method and generalizations,2015
Journal Article,"Zeng M,Ni Q",Quasi-Newton method for computing $Z$-eigenpairs of a symmetric tensor,2015
Journal Article,"Saito N,Woei E",Tree simplification and the `plateaux' phenomenon of graph Laplacian eigenvalues,2015
Journal Article,"Hochstenbach ME,Muhic A,Plestenjak B",Jacobi-Davidson methods for polynomial two-parameter eigenvalue problems,2015
Journal Article,"Yang XJ,Wang L",A modified Tikhonov regularization method,2015
Journal Article,"Bentbib AH,Kanber A",Block power method for SVD decomposition,2015
Journal Article,"Teng Z,Lu L,Li RC",Cluster-robust accuracy bounds for Ritz subspaces,2015
Journal Article,"Porcelli M,Binante V,Girardi M,Padovani C,Pasquinelli G",A solution procedure for constrained eigenvalue problems and its application within the structural finite-element code NOSA-ITACA,2015
Journal Article,"Dookhitram K,Tangman YD,Bhuruth M",Convergence of Arnoldi's method for generalized eigenvalue problems,2015
Journal Article,"Butta P,Guglielmi N,Manetta M,Noschese S",Differential equations for real-structured defectivity measures,2015
Journal Article,"Li W,Ng M",Some bounds for the spectral radius of nonnegative tensors,2015
Journal Article,"Ahusborde E,Azaiez M,Ben Belgacem F,Palomo Del Barrio E",Mercer's spectral decomposition for the characterization of thermal parameters,2015
Journal Article,Gu M,Subspace iteration randomization and singular value problems,2015
Journal Article,"Lu X,Xu SF",An eigenspace method for computing derivatives of semi-simple eigenvalues and corresponding eigenvectors of quadratic eigenvalue problems,2015
Journal Article,"Yao TT,Bai ZJ",Semidefinite inverse eigenvalue problems with prescribed entries and partial eigendata,2015
Journal Article,"Bates DJ,Davis BR,Kirby M,Marks J,Peterson C",The max-length-vector line of best fit to a set of vector subspaces and an optimization problem over a set of hyperellipsoids,2015
Journal Article,"Lu L,Yuan F,Li RC",A new look at the doubling algorithm for a structured palindromic quadratic eigenvalue problem,2015
Journal Article,Taslaman L,Strongly damped quadratic matrix polynomials,2015
Journal Article,Elden L,Computing Frechet derivatives in partial least squares regression,2015
Journal Article,"Bueno MI,Dopico F,Furtado S,Rychnovsky M",Large vector spaces of block-symmetric strong linearizations of matrix polynomials,2015
Journal Article,"Nguenang LB,Kamgnia E,Philippe B",Localisation robuste et denombrement de valeurs propres,2015
Journal Article,"Kostic V,Miedlar A,Stolwijk JJ",On matrix nearness problems: distance to delocalization,2015
Journal Article,"Marco A,Martinez JJ",A total positivity property of the Marchenko-Pastur law,2015
Journal Article,"Bora S,Karow M,Mehl C,Sharma P",Structured eigenvalue backward errors of matrix pencils and polynomials with palindromic structures,2015
Journal Article,"Ben Arous G,Dang K",On fluctuations of eigenvalues of random permutation matrices,2015
Journal Article,"Andreev A,Racheva MR",The effect of a postprocessing procedure to upper bounds of the eigenvalues,2015
Journal Article,"Teal PD,Eccles C",Adaptive truncation of matrix decompositions and efficient estimation of NMR relaxation distributions,2015
Journal Article,"Witten R,Candes E",Randomized algorithms for low-rank matrix factorizations: sharp performance bounds,2015
Journal Article,"Calvetti D,Reichel L,Xu H",A CS decomposition for orthogonal matrices with application to eigenvalue computation,2015
Journal Article,Matejas J,Accuracy of one step of the Falk-Langemeyer method,2015
Journal Article,"Hadfield S,Papageorgiou A",Approximating ground and excited state energies on a quantum computer,2015
Journal Article,"De Teran F,Dopico F,Van Dooren P",Matrix polynomials with completely prescribed eigenstructure,2015
Journal Article,"Vecharynski E,Yang C,Pask JE",A projected preconditioned conjugate gradient algorithm for computing many extreme eigenpairs of a Hermitian matrix,2015
Journal Article,"Ni Q,Qi L",A quadratically convergent algorithm for finding the largest eigenvalue of a nonnegative homogeneous polynomial map,2015
Journal Article,"Li X,Ng M",Solving sparse non-negative tensor equations: algorithms and applications,2015
Journal Article,"Jiang F,Enqvist O,Kahl F",A combinatorial approach to $L_1$-matrix factorization,2015
Journal Article,"Fermo L,Van der Mee C,Seatzu S",Parameter estimation of monomial-exponential sums in one and two variables,2015
Journal Article,"Yin JF,Kong XH,Zheng N",Aitken extrapolation method for computing the largest eigenvalue of nonnegative tensors,2015
Journal Article,"Bravo I,Vazquez C,Gardel A,Lazaro JL,Palomar E",High level synthesis FPGA implementation of the Jacobi algorithm to solve the eigen problem,2015
Journal Article,"Demyanko KV,Nechepurenko YM,Sadkane M",Inverse subspace bi-iteration and bi-Newton methods for computing spectral projectors,2015
Journal Article,"Pranic MS,Reichel L",Generalized anti-Gauss quadrature rules,2015
Journal Article,"Cruz-Barroso R,Diaz Mendoza C,Orive R",Multiple orthogonal polynomials on the unit circle. Normality and recurrence relations,2015
Journal Article,"Bultheel A,Cantero MJ,Cruz-Barroso R",Matrix methods for quadrature formulas on the unit circle. A survey,2015
Journal Article,Taslaman L,An algorithm for quadratic eigenproblems with low rank damping,2015
Journal Article,"Chen JT,Kuo SR,Kao SK,Jian J",Revisit of a degenerate scale: a semi-circular disc,2015
Journal Article,"Sifuentes J,Gimbutas Z,Greengard L",Randomized methods for rank-deficient linear systems,2015
Journal Article,"Chern RL,Hsieh HE,Huang TM,Lin WW,Wang W",Singular value decompositions for single-curl operators in three-dimensional Maxwell's equations for complex media,2015
Journal Article,"Dykes L,Noschese S,Reichel L",Rescaling the GSVD with application to ill-posed problems,2015
Journal Article,"Tudisco F,Cardinali V,Di Fiore C",On complex power nonnegative matrices,2015
Journal Article,"Mackey DS,Mackey N,Mehl C,Mehrmann V",Moebius transformations of matrix polynomials,2015
Journal Article,"Jia Z,Sun Y",Implicitly restarted generalized second-order Arnoldi type algorithms for the quadratic eigenvalue problem,2015
Journal Article,"Mehrmann V,Xu H",Structure preserving deflation of infinite eigenvalues in structured pencils,2015
Journal Article,"Hao C,Cui C,Dai YH",A sequential subspace projection method for extreme Z-eigenvalues of supersymmetric tensors,2015
Journal Article,"Bujanovic Z,Drmac Z",A new framework for implicit restarting of the Krylov-Schur algorithm,2015
Journal Article,"Jia Z,Li C",Harmonic and refined harmonic shift-invert residual Arnoldi and Jacobi-Davidson methods for interior eigenvalue problems,2015
Journal Article,Kostic V,On general principles of eigenvalue localizations via diagonal dominance,2015
Journal Article,Strobach P,Constrained optimization of the overdetermined Zimmermann compressor for nonorthogonal joint matrix diagonalization,2015
Journal Article,Hari V,Convergence to diagonal form of block Jacobi-type methods,2015
Journal Article,"Noferini V,Sharify M,Tisseur F",Tropical roots as approximations to eigenvalues of matrix polynomials,2015
Journal Article,Sato H,Joint singular value decomposition algorithm based on the Riemannian trust-region method,2015
Journal Article,"Araki S,Kimura K,Yamamoto Y,Nakamura Y",Implementation details of an extended oqds algorithm for singular values,2015
Journal Article,"Cavoretto R,Fasshauer GE,McCourt M",An introduction to the Hilbert-Schmidt SVD using iterated Brownian bridge kernels,2015
Journal Article,"Beckermann B,Matos AC",Algebraic properties of robust Pade approximants,2015
Journal Article,"Armentano D,Cucker F",A randomized homotopy for the Hermitian eigenpair problem,2015
Journal Article,"Guglielmi N,Overton ML,Stewart GW",An efficient algorithm for computing the generalized null space decomposition,2015
Journal Article,Novakovic V,A hierarchically blocked Jacobi SVD algorithm for single and multiple graphics processing units,2015
Journal Article,"Mas J,Cerdan J,Malla N,Marin J",Application of the Jacobi-Davidson method for spectral low-rank preconditioning in computational electromagnetics problems,2015
Journal Article,"Szyld DB,Xue F",Local convergence of Newton-like methods for degenerate eigenvalues of nonlinear eigenproblems: II. Accelerated algorithms,2015
Journal Article,"Szyld DB,Xue F",Local convergence of Newton-like methods for degenerate eigenvalues of nonlinear eigenproblems. I. Classical algorithms,2015
Journal Article,"Guglielmi N,Kressner D,Lubich C",Low rank differential equations for Hamiltonian matrix nearness problems,2015
Journal Article,"Garoni C,Serra-Capizzano S,Sesana D",Tools for determining the asymptotic spectral distribution of non-Hermitian perturbations of Hermitian matrix-sequences and applications,2015
Journal Article,"Freitag MA,Kuerschner P",Tuned preconditioners for inexact two-sided inverse and Rayleigh quotient iteration,2015
Journal Article,"Guevara Vasquez F,Webb BZ",Pseudospectra of isospectrally reduced matrices,2015
Journal Article,"Batalshchikov A,Grudsky SM,Stukopin V",Asymptotics of eigenvalues of symmetric Toeplitz band matrices,2015
Journal Article,"Otero B,Astudillo R,Castillo Z",A parallelizable scheme for computing the pseudospectra of large matrices,2015
Journal Article,"Bergamaschi L,Martinez A",Efficiently preconditioned inexact Newton methods for large symmetric eigenvalue problems,2015
Journal Article,"Huang YL,Huang TM,Lin WW,Wang WC",A null space free Jacobi-Davidson iteration for Maxwell's operator,2015
Journal Article,"Nakatsukasa Y,Noferini V,Townsend A",Computing the common zeros of two bivariate functions via Bezout resultants,2015
Journal Article,"Chen X,Li W,Wu X",Backward errors of periodic invariant subspaces for regular periodic matrix pairs,2015
Journal Article,"Cheng GH,Tan Q,Wang Z",A note on eigenvalues of perturbed $2\times 2$ block Hermitian matrices,2015
Journal Article,Yuan Q,Optimal matrix pencil approximation problem in structural dynamic model updating,2015
Journal Article,"Bevilacqua R,Del Corso GM,Gemignani L",Compression of unitary rank-structured matrices to CMV-like shape with an application to polynomial rootfinding,2015
Journal Article,"Gu C,Xie F,Zhang KC",A two-step matrix splitting iteration for computing PageRank,2015
Journal Article,"Holzwarth P,Eberhard P",SVD-based improvements for component mode synthesis in elastic multibody systems,2015
Journal Article,"Karow M,Mengi E",Matrix polynomials with specified eigenvalues,2015
Journal Article,"Sangers A,Van Gijzen MB",The eigenvectors corresponding to the second eigenvalue of the Google matrix and their relation to link spamming,2015
Journal Article,"Matejas J,Hari V",On high relative accuracy of the Kogbetliantz method,2015
Journal Article,"Jakovcevic Stor N,Slapnicar I,Barlow JL",Accurate eigenvalue decomposition of real symmetric arrowhead matrices and applications,2015
Journal Article,Ben-Israel A,Projectors on intersections of subspaces,2015
Journal Article,Yao WQ,An improved optimization algorithm for solving real eigenvalue and eigenvector of matrixes,2014
Journal Article,Genseberger M,Practical aspects of domain decomposition in Jacobi-Davidson for parallel performance,2014
Journal Article,"Ohashi A,Sogabe T",On computing maximum/minimum singular values of a generalized tensor sum,2014
Journal Article,"Abdikalykov AK,Ikramov KD,Chugunov VN",On the eigenvalues of $(T+H)$-circulants and skew $(T+H)$-circulants,2014
Journal Article,"Pfrang CW,Deift P,Menon G",How long does it take to compute the eigenvalues of a random symmetric matrix?,2014
Journal Article,Pazdanowski M,SVD as a preconditioner in nonlinear optimization,2014
Journal Article,"He J,Huang TZ,Cheng GH",Some inequalities for nonnegative tensors,2014
Journal Article,"Wang T,Lv H,Sang H",Estimations for spectral radius of nonnegative matrices and the smallest eigenvalue of $M$-matrices,2014
Journal Article,"He J,Huang TZ",Inequalities for $M$-tensors,2014
Journal Article,"Willert J,Kelley CT,Knoll DA,Park H",A hybrid deterministic/Monte Carlo method for solving the $k$-eigenvalue problem with a comparison to analog Monte Carlo solutions,2014
Journal Article,"Betzler BR,Martin WR,Kiedrowski BC,Brown FB",Calculating $\alpha $ eigenvalues of one-dimensional media with Monte Carlo,2014
Journal Article,Mafteiu-Scai LO,The bandwidths of a matrix. A survey of algorithms,2014
Journal Article,"Malyshev A,Sadkane M,Salam A",A subspace iteration for symplectic matrices,2014
Journal Article,Meurant G,On the location of the Ritz values in the Arnoldi process,2014
Journal Article,"Danisman Y,Yilmaz MF,Ozkaya A,Comlekciler IT",A comparison of eigenvalue methods for principal component analysis,2014
Journal Article,Pan CP,A generalized two-stage iterative method for computing PageRank,2014
Journal Article,"Cao Y,Dai H",Quadratic approximation methods for solving nonlinear eigenvalue problems,2014
Journal Article,"Liang Q,Ye Q",Computing singular values of large matrices with an inverse-free preconditioned Krylov subspace method,2014
Journal Article,"Abdikalykov AK,Ikramov KD,Chugunov VN",Some acceleration techniques for calculating the eigenvalues of normal Toeplitz matrices,2014
Journal Article,"Abdikalykov AK,Ikramov KD,Chugunov VN",On the calculation of eigenvalues for some classes of normal Hankel matrices,2014
Journal Article,"Yamamoto Y,Lan Z,Kudo S",Convergence analysis of the parallel classical block Jacobi method for the symmetric eigenvalue problem,2014
Journal Article,"Guettel S,Van Beeumen R,Meerbergen K,Michiels W",NLEIGS: a class of fully rational Krylov methods for nonlinear eigenvalue problems,2014
Journal Article,"Zhu L,Xu WW",Backward error analysis for an eigenproblem involving two classes of matrices,2014
Journal Article,"Noschese S,Reichel L",A modified truncated singular value decomposition method for discrete ill-posed problems,2014
Journal Article,"Al-Fhaid AS,Serra Capizzano S,Sesana D,Ullah MZ",Singular-value (and eigenvalue) distribution and Krylov preconditioning of sequences of sampling matrices approximating integral operators,2014
Journal Article,"Dmytryshyn A,Kagstroem B",Orbit closure hierarchies of skew-symmetric matrix pencils,2014
Journal Article,"Guglielmi N,Kressner D,Lubich C",Computing extremal points of symplectic pseudospectra and solving symplectic matrix nearness problems,2014
Journal Article,Aishima K,A note on the Rayleigh quotient iteration for symmetric eigenvalue problems,2014
Journal Article,Miyajima S,Verified bounds for all the singular values of matrix,2014
Journal Article,"Zhang LH,Li R","Maximization of the sum of the trace ratio on the Stiefel manifold, I: Theory",2014
Journal Article,"Chung J,Chung M",An efficient approach for computing optimal low-rank regularized inverse matrices,2014
Journal Article,"Friedland S,Ottaviani G",The number of singular vector tuples and uniqueness of best rank-one approximation of tensors,2014
Journal Article,"Constantine PG,Gleich DF,Hou Y,Templeton J",Model reduction with MapReduce-enabled tall and skinny singular value decomposition,2014
Journal Article,"Dailey M,Dopico F,Ye Q",Relative perturbation theory for diagonally dominant matrices,2014
Journal Article,"Zhang J,Li S,Cheng L,Liao X,Cheng G",A fast and stable algorithm for downdating the singular value decomposition,2014
Journal Article,"Yang D,Ma Z,Buja A",A sparse singular value decomposition method for high-dimensional data,2014
Journal Article,"Huang WQ,Gu XD,Lin WW,Yau ST",A novel symmetric skew-Hamiltonian isotropic Lanczos algorithm for spectral conformal parameterizations,2014
Journal Article,"Kressner D,Steinlechner M,Uschmajew A",Low-rank tensor methods with subspace correction for symmetric eigenvalue problems,2014
Journal Article,"Li W,Ng M",The perturbation bound for the spectral radius of a nonnegative tensor,2014
Journal Article,"Neymeyr K,Zhou M",Iterative minimization of the Rayleigh quotient by block steepest descent iterations,2014
Journal Article,"Joubert SV,Shatalov MY,Fay TH",On numerically solving an eigenvalue problem arising in a resonator gyroscope,2014
Journal Article,"Adlerborn B,Kagstroem B,Kressner D",A parallel QZ algorithm for distributed memory HPC systems,2014
Journal Article,"Bueno MI,Furtado S",Structured strong linearizations from Fiedler pencils with repetition II,2014
Journal Article,"Donatelli M,Garoni C,Mazza M,Serra-Capizzano S,Sesana D",Spectral behavior of preconditioned non-Hermitian multilevel block Toeplitz matrices with matrix-valued symbol,2014
Journal Article,Chen H,A splitting preconditioner for the iterative solution of implicit Runge-Kutta and boundary value methods,2014
Journal Article,Miyajima S,Fast enclosure for all eigenvalues and invariant subspaces in generalized eigenvalue problems,2014
Journal Article,"Kanaksabee P,Dookhitram K,Bhuruth M",Krylov subspace method for fuzzy eigenvalue problem,2014
Journal Article,"Fermo L,Van der Mee C,Seatzu S",Parameter estimation of monomial-exponential sums,2014
Journal Article,Strauss M,A new approach to spectral approximation,2014
Journal Article,"Ferranti M,Le TH,Vandebril R",A comparison between the complex symmetric based and classical computation of the singular value decomposition of normal matrices,2014
Journal Article,"Fathi-Vajargah B,Jahanbin A",A way for low ranking matrices and its stochastic computations using Monte Carlo method,2014
Journal Article,"Liu H,Song Z",An inexact continuation accelerated proximal gradient algorithm for low $n$-rank tensor recovery,2014
Journal Article,"Psarrakos P,Tsatsomeros MJ",On the geometry of the envelope of a matrix,2014
Journal Article,"Li C,Li YT",A modification of eigenvalue localization for stochastic matrices,2014
Journal Article,"Bueno MI,Curlett K,Furtado S",Structured strong linearizations from Fiedler pencils with repetition I,2014
Journal Article,"Yin JF,Yin G",Restarted full orthogonalization method with deflation for shifted linear systems,2014
Journal Article,"Jarlebring E,Kvaal S,Michiels W",An inverse iteration method for eigenvalue problems with eigenvector nonlinearities,2014
Journal Article,"Vecharynski E,Saad Y",Fast updating algorithms for latent semantic indexing,2014
Journal Article,"De Teran F,Dopico F,Mackey DS",Spectral equivalence of matrix polynomials and the index sum theorem,2014
Journal Article,"Grubisic L,Truhar N,Miodragovic S",The rotation of eigenspaces of perturbed matrix pairs II,2014
Journal Article,"Li S,Gu M,Cheng L,Chi XB,Sun M",An accelerated divide-and-conquer algorithm for the bidiagonal SVD problem,2014
Journal Article,"Bonnaillie-Noel V,Lena C",Spectral minimal partitions of a sector,2014
Journal Article,Cheng GH,Convergence analysis of ARD algorithm,2014
Journal Article,"Osting B,White CD,Oudet E",Minimal Dirichlet energy partitions for graphs,2014
Journal Article,"Kressner D,Miloloza Pandur M,Shao M",An indefinite variant of LOBPCG for definite matrix pencils,2014
Journal Article,Pena JM,Eigenvalue localization and Neville elimination,2014
Journal Article,"Wang P,Dai H",Sensitivity of defective multiple eigenvalues of a quadratic matrix polynomial problem,2014
Journal Article,"Liu W,Dai H",Implicitly restarted and refined global Lanczos method,2014
Journal Article,"Akinola RO,Spence A",A comparison of the implicit determinant method and inverse iteration,2014
Journal Article,"Huang TM,Lin WW",A novel deflation technique for solving quadratic eigenvalue problems,2014
Journal Article,"Kressner D,Roman JE",Memory-efficient Arnoldi algorithms for linearizations of matrix polynomials in Chebyshev basis,2014
Journal Article,"Akinola RO,Freitag MA,Spence A",The computation of Jordan blocks in parameter-dependent matrices,2014
Journal Article,"Szyld DB,Xue F",Several properties of invariant pairs of nonlinear algebraic eigenvalue problems,2014
Journal Article,"Xi Y,Xia J,Chan RH",A fast randomized eigensolver with structured LDL factorization update,2014
Journal Article,"Pu BY,Huang TZ,Wen C",A preconditioned and extrapolation-accelerated GMRES method for PageRank,2014
Journal Article,"Berljafa M,Di Napoli E",A parellel and scalable iterative solver for sequences of dense eigenproblems arising in FLAPW,2014
Journal Article,"Jia Z,Li C",Inner iterations in the shift-invert residual Arnoldi method and the Jacobi-Davidson method,2014
Journal Article,"Chen X,Li W,Ng M",On condition numbers of the spectral projections associated with periodic eigenproblems,2014
Journal Article,"Huang TM,Hsieh HE,Lin WW,Wang W",Eigenvalue solvers for three dimensional photonic crystals with face-centered cubic lattice,2014
Journal Article,"Butta P,Noschese S",Structured maximal perturbations for Hamiltonian eigenvalue problems,2014
Journal Article,"Brugiapaglia S,Gemignani L",On the simultaneous refinement of the zeros of H-palindromic polynomials,2014
Journal Article,Yeung MC,ML($n$)BiCGStabt: a ML($n$)BiCGStab variant with $\bold A$-transpose,2014
Journal Article,Miao H,Modified block Jacobi-Davidson method for solving large sparse eigenproblems,2014
Journal Article,"Karow M,Kressner D,Mengi E",Nonlinear eigenvalue problems with specified eigenvalues,2014
Journal Article,Cheng GH,Note on some upper bounds for the condition number,2014
Journal Article,"Karlsson L,Kagstroem B,Wadbro E",Fine-grained bulge-chasing kernels for strongly scalable parallel QR algorithms,2014
Journal Article,"Aktulga HM,Lin L,Haine C,Ng E,Yang C",Parallel eigenvalue calculation based on multiple shift-invert Lanczos and contour integral based spectral projection method,2014
Journal Article,"Auckenthaler T,Huckle T,Wittmann R",A blocked QR-decomposition for the parallel symmetric eigenvalue problem,2014
Journal Article,"Sun W,So HC,Chen Y,Huang LT,Huang L",Approximate subspace-based iterative adaptive approach for fast two-dimensional spectral estimation,2014
Journal Article,"Hofstaetter H,Koch O",An approximate eigensolver for self-consistent field calculations,2014
Journal Article,"Li S,Gu M,Parlett B",An improved DQDS algorithm,2014
Journal Article,"Baglama J,Fenu C,Reichel L,Rodriguez G",Analysis of directed networks via partial singular value decomposition and Gauss quadrature,2014
Journal Article,"Freitag MA,Spence A",A new approach for calculating the real stability radius,2014
Journal Article,"Bodendiek A,Bollhoefer M",Adaptive-order rational Arnoldi-type methods in computational electromagnetism,2014
Journal Article,"Kamenski L,Huang W,Xu H",Conditioning of finite element equations with arbitrary anisotropic meshes,2014
Journal Article,"Gangl S,Mongus D,Zalik B",An efficient eigenspace updating scheme for high-dimensional systems,2014
Journal Article,"Sato H,Iwai T",Optimization algorithms on the Grassmann manifold with application to matrix eigenvalue problems,2014
Journal Article,"Kumar GK,Lui SH",On some properties of the pseudospectral radius,2014
Journal Article,"Imamura T,Yamada S,Machida M",Eigen-G: GPU-based eigenvalue solver for real-symmetric dense matrices,2014
Journal Article,"Aliaga JI,Davidovic D,Quintana-Orti ES",Out-of-core solution of eigenproblems for macromolecular simulations,2014
Journal Article,"Becka M,Oksa G",Parallel one-sided Jacobi SVD algorithm with variable blocking factor,2014
Journal Article,"Alperovich A,Druinsky A,Toledo S",Experiences with a Lanczos eigensolver in high-precision arithmetic,2014
Journal Article,"Gutheil I,Muenchhalfen JF,Grotendorst J",Performance of dense eigensolvers on BlueGene/Q,2014
Journal Article,"Zhang LH,Xue J,Li RC",Rayleigh-Ritz approximation for the linear response eigenvalue problem,2014
Journal Article,"Neymeyr K,Zhou M",The block preconditioned steepest descent iteration for elliptic operator eigenvalue problems,2014
Journal Article,"Mengi E,Yildirim EA,Kilic M",Numerical optimization of eigenvalues of Hermitian matrix functions,2014
Journal Article,"Katsouleas G,Maroulas J",Interaction between Hermitian and normal imbeddings,2014
Journal Article,"Li Y,Gu K,Zhou J,Xu S",Estimating stable delay intervals with a discretized Lyapunov-Krasovskii functional formulation,2014
Journal Article,"Li W,Vong SW,Peng X",On eigenvalue perturbation bounds for Hermitian block tridiagonal matrices,2014
Journal Article,"Nagata M,Iwasaki M,Nakamura Y",Accurate similarity transformation derived from the discrete Lotka-Volterra system for bidiagonal singular values,2014
Journal Article,"Ishii H,Tempo R","The PageRank problem, multiagent consensus, and Web aggregation: a systems and control viewpoint",2014
Journal Article,"Edelman A,Koev P",Eigenvalue distributions of beta-Wishart matrices,2014
Journal Article,"Wu G,Zhang L",On expansion of search subspaces for large non-Hermitian eigenproblems,2014
Journal Article,"Baglama J,Richmond DJ",Implicitly restarting the LSQR algorithm,2014
Journal Article,"Bettebghor D,Leroy FH",Overlapping radial basis function interpolants for spectrally accurate approximation of functions of eigenvalues with application to buckling of composite plates,2014
Journal Article,"Wu SJ,Lin MM",Numerical methods for solving nonnegative inverse singular value problems with prescribed structure,2014
Journal Article,"Freitag MA,Spence A,Van Dooren P",Calculating the $H_\infty $-norm using the implicit determinant method,2014
Journal Article,"Akinola RO,Freitag MA,Spence A",The calculation of the distance to a nearby defective matrix,2014
Journal Article,"Vassilevski PS,Zikatanov LT",Commuting projections on graphs,2014
Journal Article,"Guglielmi N,Zennaro M",Stability of linear problems: joint spectral radius of sets of matrices,2014
Journal Article,"Dieci L,Papini A,Pugliese A,Spadoni A",Continuous decompositions and coalescing eigenvalues for matrices depending on parameters,2014
Journal Article,"Barreras A,Pena JM","Matrices with bidiagonal decomposition, accurate computations and corner cutting algorithms",2014
Journal Article,"Wu SL,Li CX",Spectral analysis of some discrete systems arising from Maxwell equations,2014
Journal Article,"Mach T,Vandebril R",On deflations in extended QR algorithms,2014
